,Unnamed: 0,close,date,high,low,open,volume
1367,1367.0,662.45,2021-07-20 10:40:00+05:30,664.0,661.5,664.0,210839.0
1368,1368.0,663.25,2021-07-20 10:45:00+05:30,663.45,661.1,662.3,168103.0
1369,1369.0,664.25,2021-07-20 10:50:00+05:30,664.5,662.5,663.2,134723.0
1370,1370.0,663.5,2021-07-20 10:55:00+05:30,664.4,663.5,664.35,62579.0
1434,1434.0,671.95,2021-07-22 10:00:00+05:30,672.5,671.3,672.5,83381.0
1435,1435.0,672.1,2021-07-22 10:05:00+05:30,672.65,671.15,671.85,51122.0
1436,1436.0,670.9,2021-07-22 10:10:00+05:30,672.45,670.5,672.1,72182.0
1437,1437.0,669.85,2021-07-22 10:15:00+05:30,671.7,669.2,671.0,155219.0
1438,1438.0,669.2,2021-07-22 10:20:00+05:30,669.85,668.2,669.85,158916.0
1439,1439.0,670.0,2021-07-22 10:25:00+05:30,670.45,668.35,669.1,113686.0
1440,1440.0,668.6,2021-07-22 10:30:00+05:30,669.8,668.5,669.75,70521.0
1441,1441.0,669.15,2021-07-22 10:35:00+05:30,670.35,668.55,668.6,60104.0
1442,1442.0,668.75,2021-07-22 10:40:00+05:30,669.6,668.65,669.15,58011.0
1443,1443.0,668.7,2021-07-22 10:45:00+05:30,669.15,668.35,668.75,42075.0
1444,1444.0,667.5,2021-07-22 10:50:00+05:30,668.75,667.0,668.7,100816.0
1445,1445.0,667.55,2021-07-22 10:55:00+05:30,667.9,667.0,667.35,70447.0
1509,1509.0,683.8,2021-07-23 10:00:00+05:30,687.05,683.5,685.5,124721.0
1510,1510.0,683.0,2021-07-23 10:05:00+05:30,684.45,682.0,683.6,194048.0
1511,1511.0,684.05,2021-07-23 10:10:00+05:30,684.25,682.75,682.95,63902.0
1512,1512.0,683.8,2021-07-23 10:15:00+05:30,684.1,683.2,684.0,43341.0
1513,1513.0,682.95,2021-07-23 10:20:00+05:30,683.9,682.05,683.6,60287.0
1514,1514.0,684.3,2021-07-23 10:25:00+05:30,684.9,682.55,682.65,79266.0
1515,1515.0,684.15,2021-07-23 10:30:00+05:30,684.6,683.5,684.5,37996.0
1516,1516.0,682.55,2021-07-23 10:35:00+05:30,684.6,682.25,684.15,73306.0
1517,1517.0,680.7,2021-07-23 10:40:00+05:30,682.5,680.5,682.5,154672.0
1518,1518.0,679.4,2021-07-23 10:45:00+05:30,680.75,678.6,680.75,220560.0
1519,1519.0,679.5,2021-07-23 10:50:00+05:30,679.7,678.25,679.4,96932.0
1520,1520.0,680.5,2021-07-23 10:55:00+05:30,681.4,679.5,679.5,102654.0
